今天過得太棒了！陽光普照，我感到非常開心。,喜悅
我簡直不敢相信我考試不及格。我好難過。,悲傷
所有事情都出錯了。我感到壓力好大，快要崩潰了。,焦慮
今天的天空好藍，讓我覺得整個人都亮起來。,喜悅
手機突然壞掉，重要資料全不見了。,悲傷
他竟然又遲到，我真的受夠了！,憤怒
明天要面試了，我緊張得睡不著。,焦慮
午後喝杯熱茶，好像所有煩惱都變得很小。,平靜
朋友突然送我一份禮物，完全沒想到！,驚訝
這道菜味道怪怪的，我吃了一口就不敢再吃。,厭惡
新專案下週開始，我已經迫不及待了！,期待
今天的運動效果超好，身體好輕盈。,喜悅
我好像又把事情搞砸了，心裡很悶。,悲傷
他把所有責任都推給我，真是太過分了！,憤怒
報表還沒做完，主管一直催，我頭好痛。,焦慮
聽著雨聲發呆，覺得好舒服。,平靜
走在路上突然看到明星本人，嚇了一跳！,驚訝
冰箱裡的牛奶打開就一股酸味。,厭惡
假期快到了，我想出去走走。,期待
今天順利達成目標，好有成就感。,喜悅
朋友取消了約，我心裡突然空空的。,悲傷
為什麼他都聽不懂我說的話？！,憤怒
想到月底要交三份報告，我心跳都加快了。,焦慮
坐在海邊吹風，真的很療癒。,平靜
我把飲料放在桌邊，一個不注意竟然翻掉！,驚訝
這垃圾桶散發出好噁心的味道。,厭惡
新作品快完成了，我超期待成果。,期待
今天收到升遷通知，太開心了！,喜悅
又下雨又塞車，我整個心情都沉下來。,悲傷
他明明知道會影響大家卻還是那樣做！,憤怒
醫生的檢查報告還沒出來，我好忐忑。,焦慮
早上散步時空氣好清新，心情變得很輕鬆。,平靜
同事突然說要離職，我真的嚇到。,驚訝
這咖啡苦到不行，完全喝不下。,厭惡
明天的新挑戰讓我充滿動力！,期待
今天收到好久不見朋友的訊息，好開心。,喜悅
我努力了那麼久，但結果還是讓我很失望。,悲傷
他講話太不負責任，我真的火大。,憤怒
想到要在台上講話，我整個胃都縮起來。,焦慮
躺在床上聽音樂，覺得很放鬆。,平靜
箱子一打開發現是我一直想要的東西！,驚訝
這個房間的味道好像發霉了。,厭惡
下週的旅行我已經等不及！,期待
今天被讚美了，心裡暖暖的。,喜悅
看到那張照片，想起一些不愉快的事。,悲傷
他又違反承諾，我真的被惹毛了。,憤怒
醫院的電話一響我就開始緊張。,焦慮
午後的陽光照進房間，好平靜。,平靜
路上遇到小鹿亂撞的狗，好驚訝。,驚訝
這道菜太油膩，我一聞就反胃。,厭惡
等著新品上市，好期待。,期待
今天工作順利結束，整個人很愉快。,喜悅
看著天空突然覺得孤單。,悲傷
示例文本 54,喜悅
示例文本 55,喜悅
示例文本 56,喜悅
示例文本 57,喜悅
示例文本 58,喜悅
示例文本 59,喜悅
示例文本 60,喜悅
示例文本 61,喜悅
示例文本 62,喜悅
示例文本 63,喜悅
示例文本 64,喜悅
示例文本 65,喜悅
示例文本 66,喜悅
示例文本 67,喜悅
示例文本 68,喜悅
示例文本 69,喜悅
示例文本 70,喜悅
示例文本 71,喜悅
示例文本 72,喜悅
示例文本 73,喜悅
示例文本 74,喜悅
示例文本 75,喜悅
示例文本 76,喜悅
示例文本 77,喜悅
示例文本 78,喜悅
示例文本 79,喜悅
示例文本 80,喜悅
示例文本 81,喜悅
示例文本 82,喜悅
示例文本 83,喜悅
示例文本 84,喜悅
示例文本 85,喜悅
示例文本 86,喜悅
示例文本 87,喜悅
示例文本 88,喜悅
示例文本 89,喜悅
示例文本 90,喜悅
示例文本 91,喜悅
示例文本 92,喜悅
示例文本 93,喜悅
示例文本 94,喜悅
示例文本 95,喜悅
示例文本 96,喜悅
示例文本 97,喜悅
示例文本 98,喜悅
示例文本 99,喜悅
示例文本 100,喜悅
示例文本 101,喜悅
示例文本 102,喜悅
示例文本 103,喜悅
示例文本 104,喜悅
示例文本 105,喜悅
示例文本 106,喜悅
示例文本 107,喜悅
示例文本 108,喜悅
示例文本 109,喜悅
示例文本 110,喜悅
示例文本 111,喜悅
示例文本 112,喜悅
示例文本 113,喜悅
示例文本 114,喜悅
示例文本 115,喜悅
示例文本 116,喜悅
示例文本 117,喜悅
示例文本 118,喜悅
示例文本 119,喜悅
示例文本 120,喜悅
示例文本 121,喜悅
示例文本 122,喜悅
示例文本 123,喜悅
示例文本 124,喜悅
示例文本 125,喜悅
示例文本 126,喜悅
示例文本 127,喜悅
示例文本 128,喜悅
示例文本 129,喜悅
示例文本 130,喜悅
示例文本 131,喜悅
示例文本 132,喜悅
示例文本 133,喜悅
示例文本 134,喜悅
示例文本 135,喜悅
示例文本 136,喜悅
示例文本 137,喜悅
示例文本 138,喜悅
示例文本 139,喜悅
示例文本 140,喜悅
示例文本 141,喜悅
示例文本 142,喜悅
示例文本 143,喜悅
示例文本 144,喜悅
示例文本 145,喜悅
示例文本 146,喜悅
示例文本 147,喜悅
示例文本 148,喜悅
示例文本 149,喜悅
示例文本 150,喜悅
示例文本 151,喜悅
示例文本 152,喜悅
示例文本 153,喜悅
示例文本 154,喜悅
示例文本 155,喜悅
示例文本 156,喜悅
示例文本 157,喜悅
示例文本 158,喜悅
示例文本 159,喜悅
示例文本 160,喜悅
示例文本 161,喜悅
示例文本 162,喜悅
示例文本 163,喜悅
示例文本 164,喜悅
示例文本 165,喜悅
示例文本 166,喜悅
示例文本 167,喜悅
示例文本 168,喜悅
示例文本 169,喜悅
示例文本 170,喜悅
示例文本 171,喜悅
示例文本 172,喜悅
示例文本 173,喜悅
示例文本 174,喜悅
示例文本 175,喜悅
示例文本 176,喜悅
示例文本 177,喜悅
示例文本 178,喜悅
示例文本 179,喜悅
示例文本 180,喜悅
示例文本 181,喜悅
示例文本 182,喜悅
示例文本 183,喜悅
示例文本 184,喜悅
示例文本 185,喜悅
示例文本 186,喜悅
示例文本 187,喜悅
示例文本 188,喜悅
示例文本 189,喜悅
示例文本 190,喜悅
示例文本 191,喜悅
示例文本 192,喜悅
示例文本 193,喜悅
示例文本 194,喜悅
示例文本 195,喜悅
示例文本 196,喜悅
示例文本 197,喜悅
示例文本 198,喜悅
示例文本 199,喜悅
示例文本 200,喜悅
